Book,Author(s),Original language,First published,Genre,Approximate sales,Subjects,Book_Type,Book word common for the dataset,From top 200 words,Majority_Book_Type,Raw Subjects
The Horse Whisperer,Nicholas Evans,English,1995,,16000000,"domestic, english, family, fiction, german, girls, large, life, manwoman, novel, psychology, relationships, romance, roman, youth, type",Fiction,large type books,"domestic, english, family, ficción, german, girls, large, life, manwoman, novela, psychology, relationships, romance, romans, teenage, type",Uncategorized,"Caballos, Curadores, Ficción, Fiction, Healers, Healers in fiction, Healing, Horses, Horses in fiction, Man-woman relationships, Man-woman relationships in fiction, Montana in fiction, Psychology, Relaciones hombre-mujer, Romance, Teenage girls, Traffic accident victims, Domestic fiction, English fiction, Montana, fiction, Man-woman relationships, fiction, Fiction, family life, Large type books, Fiction, family life, general, Romans, Chevaux, German text, Oberschicht, Familie, Tochter, Reitunfall, Pferd, Neurose, Belletristische Darstellung, Internet Archive Wishlist, Curanderos, Novela"
Goodnight Moon,Margaret Wise Brown,English,1947,"[""Children's literature""]",16000000,"animals, boys, children, children, classic, comics, criticism, fiction, for, history, youth, youth, language, large, materials, novel, picture, rabbits, relationships, short, spanish, specimens, stories, comics, type",Fiction,large type books,"animals, boys, children, childrens, classics, comic, criticism, ficción, for, history, juvenil, juvenile, language, large, materials, novela, picture, rabbits, relationships, short, spanish, specimens, stories, strips, type",Fiction,"Children's fiction, Picture books, Bedtime, fiction, Rabbits, fiction, Literature and fiction, juvenile, Rabbits, Stories in rhyme, Juvenile fiction, Moon in fiction, Board books, Hora de acostarse, Fiction, Bedtime in fiction, Rabbits in fiction, Ficción juvenil, Sleep, Bedtime, Night, Libros de láminas, Picture books for children, Spanish language materials, Specimens, Bilingual, Hmong language materials, Conejos, Bedtime & Dreams, Words, Concepts, Classics, Moon, fiction, Night, fiction, Counting books, Children's literature, history and criticism, Authorship, juvenile literature, Authorship, Large type books, Toy and movable books, Short stories, Boys, Comic books, strips, Teacher-student relationships, Dreams, fiction, Novela juvenil, Libros para contar, Animals, Materiales en español, Bilingües, Sleep, fiction"
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,"[""Children's literature""]",16000000,"action, adventure, adventure, children, evil, fantasy, fiction, german, good, fantasy, youth, youth, language, fantasy, materials, novel, reading, spanish, stories, travel",Fiction,fantasy,"action, adventure, adventurers, childrens, evil, fantasy, ficción, german, good, imaginary, juvenil, juvenile, language, magic, materials, novela, reading, spanish, stories, voyages",Fiction,"Imaginary Voyages, Bien y mal, Adventure and adventurers, Juvenile fiction, Cuentos de aventuras, Voyages, imaginary, Fantasy, Spanish language materials, Ficción juvenil, Novela fantástica, Fiction, Viajes imaginarios, Good and evil, Children’s Middle Grade Action & Adventure Books, creatures, wolves, oracles, turtles, Courage, Fantastic fiction, Imagination, Wishes, Fantasy fiction, German children's stories, Children's fiction, Magic, fiction, German fiction, Books and reading, Heroes"
All the Light We Cannot See,Anthony Doerr,English,2014,"['Historical fiction', 'war novel']",15300000,"19391945, american, bestseller, children, family, family, french, friendship, german, history, history, history, youth, language, large, education, literature, materials, new, novel, novel, people, reading, reviewed, roman, roman, survival, times, type, war, world, american, youth",Fiction,large type books,"19391945, american, bestseller, children, daughters, fathers, france, friendship, german, histoire, historical, history, jeunesse, language, large, levelgrade, literary, materials, new, nouvelles, novela, people, reading, reviewed, roman, romans, survival, times, type, war, world, york, youth",Fiction,"Blind, FICTION / General, Fiction, Youth, World War, 1939-1945, FICTION / Literary, FICTION / Historical, History, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Large type books, Fiction, historical, World war, 1939-1945, fiction, Germany, fiction, France, fiction, Literary, General, Historical, Amerikanisches Englisch, nyt:trade-fiction-paperback=2017-04-23, New York Times bestseller, nyt:hardcover-fiction=2014-05-25, New York Times reviewed, nyt:e-book-fiction=2014-06-08, Juventud, Guerra Mundial II, 1939-1945, Ciegos, Historia, Novela, Novela histórica, Survival, American fiction, Friendship, Fiction, historical, general, 18.06 Anglo-American literature, Berliner Mauer, Bildungsromans, Fathers and daughters, People with disabilities, Historical fiction, Children, Roman, Tweede Wereldoorlog, Personnes aveugles, Romans, nouvelles, Guerre mondiale, 1939-1945, Jeunesse, German Occupation of France (1940-1945) fast (OCoLC)fst01353176, World War (1939-1945) fast (OCoLC)fst01180924, Portuguese language materials, Enfants aveugles, Enfants et guerre, Histoire"
Fifty Shades of Grey,E. L. James,English,2011,['Erotica'],15200000,"author, bestseller, contemporary, english, femmes, fiction, into, language, large, literature, love, manwoman, materials, new, novel, novel, psychology, relationships, relationships, romance, roman, stories, times, translation, type, women, american",Fiction,large type books,"authors, bestseller, contemporary, english, femmes, ficción, into, language, large, literatura, love, manwoman, materials, new, nouvelles, novela, psychology, relations, relationships, romance, romans, stories, times, translations, type, women, york",Uncategorized,"Man-woman relationships, fiction, FICTION / Contemporary Women, Sexual dominance and submission, FICTION / Romance / Contemporary, Dominance (Psychology), College students, Businessmen, Adultery, Contemporary Women, Contemporary, Romance, Fiction, erotica, nyt:trade-fiction-paperback=2012-03-25, New York Times bestseller, Sexual attraction, Fiction, erotica, general, Large type books, Businesspeople, Erotic stories, Love stories, Domination et soumission (Sexualite), Romans, nouvelles, Vietnamese language materials, Gens d'affaires, Relations entre hommes et femmes, Domination et soumission (Sexualité), English literature, erotic, novel, Relaciones hombre-mujer, Ficción, Adulterio, Novela, Erotic fiction, NOVELA INGLESA, LITERATURA INGLESA, NOVELA EROTICA, Translations into Hindi, Histoires érotiques, Étudiants, Women college students, Authors, Self-realization, Dating violence"
The Outsiders,S. E. Hinton,English,1967,,15000000,"adult, boys, family, children, classic, english, family, family, friendship, youth, youth, language, large, education, life, men, novel, open_syllabus_project, orphans, pour, psychology, reading, reading, roman, social, spanish, type, works, youth",Fiction,large type books,"adult, boys, brothers, childrens, classics, english, families, family, friendship, jeunesse, juvenile, language, large, levelgrade, life, men, nouvelles, open_syllabus_project, orphans, pour, psychology, readers, reading, romans, social, spanish, type, works, young",Uncategorized,"juvenile works, violence, fiction classics, Fiction, Gangs, Family life, Family, Juvenile fiction, Brothers, Young adult fiction, open_syllabus_project, Orphans, Spanish language, Readers, Families, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Friendship, Superheroes, Children's fiction, Family life, fiction, Gangs, fiction, Boys, fiction, Alienation (Social psychology), Teenagers, Large type books, Bullying, Determination (Personality trait), Individuality, Familles, Romans, nouvelles, etc. pour la jeunesse, Frères, Intimidation, Détermination (Trait de personnalité), Individualité, Family, fiction, Orphans, fiction, Bullying, fiction, Families -- Fiction, Violence -- Fiction, Gangs -- Fiction, Orphans -- Fiction, Brothers -- Fiction, Friendship -- Fiction, Teen fiction, Boys & men, Fiction in english"
Guess How Much I Love You,Sam McBratney,English,1994,,15000000,"adventure, adventure, american, animals, book, character, children, children, children, classic, drama, english, family, family, fiction, fiction, for, french, german, humor, into, irish, youth, youth, youth, language, love, materials, orphans, pictorial, picture, pour, rabbits, reading, romance, russian, social, family, specimens, stories, translation, works, youth",Fiction,childrens fiction,"adventure, adventurers, american, animals, book, character, child, children, childrens, classics, drama, english, family, fathers, ficción, fictitious, for, france, german, humorous, into, irish, jeunesse, juvenil, juvenile, language, love, materials, orphans, pictorial, picture, pour, rabbits, reading, romance, russian, social, sons, specimens, stories, translations, works, youth",Fiction,"Fiction, Juvenile fiction, Love, Fathers and sons, Bedtime, Hares, Ficción juvenil, Padre e hijo, Hora de acostarse, Amor, Specimens, Conejos, Amour, Ouvrages pour la jeunesse, Vietnamese language materials, Bilingual, Board books, Children's picture book, Pictorial works, Animals, Rabbits, Children's picture books, Children's stories, English, Translations into German, Drama, Juvenile films, Parent and child, Spring, Children's fiction, Fathers and sons, fiction, Bedtime, fiction, Love, fiction, Rabbits, fiction, Colors, Emotions, fiction, Picture books, Toy and movable books, Parent and infant, Romance fiction, Romance-language fiction, Blind, Books and reading, Love stories, Adventure and adventurers, fiction, Russian language, Russian language materials, Children's books, Eltern, Kind, Liebe, Feldhase, Children's Books/Ages 4-8 Fiction, Social Issues - Emotions & Feelings, Children: Preschool, Animals - Rabbits, Family - General, Juvenile Fiction / Classics, Classics, Humorous Stories, Children's Books/Baby-Preschool, Children: Kindergarten, Bedtime & Dreams, Family - Parents, Children's Baby - Boardbooks, Juvenile Fiction / Bedtime & Dreams, Preschool Picture Story Books, Juvenile Fiction / Social Situations / Emotions & Feelings, Translations into Irish, American fiction, Social Situations - Emotions & Feelings, Children's Audio - 4-8, Toys, Dolls, & Puppets, Audio - Children's, France, fiction, Orphans, fiction, Spies, fiction, Rider, alex (fictitious character), fiction, Child and youth fiction, Non-classifiable, Animals, fiction, Picture books for children"
Guess How Much I Love You,Sam McBratney,English,1994,,15000000,"adventure, adventure, american, animals, book, character, children, children, children, classic, drama, english, family, family, fiction, fiction, for, french, german, humor, into, irish, youth, youth, youth, language, love, materials, orphans, pictorial, picture, pour, rabbits, reading, romance, russian, social, family, specimens, stories, translation, works, youth",Fiction,childrens fiction,"adventure, adventurers, american, animals, book, character, child, children, childrens, classics, drama, english, family, fathers, ficción, fictitious, for, france, german, humorous, into, irish, jeunesse, juvenil, juvenile, language, love, materials, orphans, pictorial, picture, pour, rabbits, reading, romance, russian, social, sons, specimens, stories, translations, works, youth",Fiction,"Fiction, Juvenile fiction, Love, Fathers and sons, Bedtime, Hares, Ficción juvenil, Padre e hijo, Hora de acostarse, Amor, Specimens, Conejos, Amour, Ouvrages pour la jeunesse, Vietnamese language materials, Bilingual, Board books, Children's picture book, Pictorial works, Animals, Rabbits, Children's picture books, Children's stories, English, Translations into German, Drama, Juvenile films, Parent and child, Spring, Children's fiction, Fathers and sons, fiction, Bedtime, fiction, Love, fiction, Rabbits, fiction, Colors, Emotions, fiction, Picture books, Toy and movable books, Parent and infant, Romance fiction, Romance-language fiction, Blind, Books and reading, Love stories, Adventure and adventurers, fiction, Russian language, Russian language materials, Children's books, Eltern, Kind, Liebe, Feldhase, Children's Books/Ages 4-8 Fiction, Social Issues - Emotions & Feelings, Children: Preschool, Animals - Rabbits, Family - General, Juvenile Fiction / Classics, Classics, Humorous Stories, Children's Books/Baby-Preschool, Children: Kindergarten, Bedtime & Dreams, Family - Parents, Children's Baby - Boardbooks, Juvenile Fiction / Bedtime & Dreams, Preschool Picture Story Books, Juvenile Fiction / Social Situations / Emotions & Feelings, Translations into Irish, American fiction, Social Situations - Emotions & Feelings, Children's Audio - 4-8, Toys, Dolls, & Puppets, Audio - Children's, France, fiction, Orphans, fiction, Spies, fiction, Rider, alex (fictitious character), fiction, Child and youth fiction, Non-classifiable, Animals, fiction, Picture books for children"
Shōgun,James Clavell,English,1975,,15000000,"adventure, british, english, history, history, language, spanish",Fiction,history,"adventure, british, english, historical, history, language, spanish",Uncategorized,"Fiction, Historical fiction, History, Spanish language books, Fiction in English, Warlords, Adventure ficiton, Samurai, British in Japan, Catholic Church, Japan, fiction, Fiction, historical, general"
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,,15000000,"animals, behavior, family, children, youth, picture, family",Fiction,childrens fiction,"animals, behavior, brothers, childrens, juvenile, picture, sisters",Uncategorized,"Fiction, Dogs, Animals, Behavior, Infancy, Tardiness, Juvenile fiction, Puppies, Brothers and sisters, Children's fiction, Dogs, fiction, Picture books"
The Pillars of the Earth,Ken Follett,English,1989,['Historical fiction'],15000000,"bestseller, british, british, english, epic, fiction, great, history, history, education, library, new, open, picks, reading, staff, crime, the, thriller, thriller, times, type, works, american",Fiction,new york times bestseller,"bestseller, britain, england, english, epic, fictional, great, historical, history, levelgrade, library, new, open, picks, reading, staff, suspense, the, thriller, thrillers, times, type, works, york",Fiction,"White Ship, The Anarchy, Battle of Lincoln, Anglo-Saxon law, Suspense & Thriller, epic fiction, suspense fiction, church and state, historical literature, church architecture, fiction, Epic literature, Historical fiction, history, monks, Cathedrals, New York Times bestseller, Open Library Staff Picks, Design and construction, nyt:mass_market_paperback=2010-02-28, Thriller, Middles Ages, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fictional Works Publication Type, Middle Ages, Fiction, historical, Great britain, fiction, Sagas, Kirchenbau, Familie, Baumeister, Thrillers, England, fiction, Fiction, thrillers, general, Fiction, historical, general, English fiction, Fiction, History, White ship, The anarchy, Battle of lincoln, Anglo-saxon law, Suspense & thriller, Epic fiction, Suspense fiction, Church and state, Historical literature, Church architecture, Monks, New york times bestseller, Open library staff picks, Nyt:mass_market_paperback=2010-02-28, Middles ages, Reading level-grade 9, Reading level-grade 11, Reading level-grade 10, Reading level-grade 12, Fictional works publication type, Middle ages"
Perfume (Das Parfum),Patrick Süskind,German,1985,,15000000,"century, fantasy, french, history, love, crime, mystery, picture, psychology, crime, thriller",Fiction,historical,"century, fantasy, france, historical, love, murder, mystery, picture, psychological, suspense, thriller",Uncategorized,"Historical fiction, psychological thriller, dark fantasy, coming-of-age, murder mystery, obsession, perfume, scent, olfactory, senses, identity, love, loneliness, 18th century France, Fiction, suspense, France, fiction, Fiction, historical, general, Perfumes, Odors, Murderers, Fiction, Parfum (Motion picture)"
The Grapes of Wrath,John Steinbeck,English,1939,,15000000,"adult, american, author, classic, english, family, family, fiction, for, great, history, large, library, life, new, novel, one, open, open_syllabus_project, picks, pour, reading, reading, reviewed, roman, staff, times, type, award, works, american",Fiction,large type books,"adult, american, author, classic, english, families, family, fictional, for, great, historical, large, library, life, new, nouvelles, one, open, open_syllabus_project, picks, pour, readers, reading, reviewed, romans, staff, times, type, winner, works, york",Uncategorized,"Labor camps, Depressions, Labor camps in literature, Classic Literature, Open Library Staff Picks, Pulitzer Prize Winner, Fiction, Migrant agricultural laborers in literature, award:pulitzer_prize=1940, open_syllabus_project, award:pulitzer_prize=fiction, California, American fiction, In literature, Migrant agricultural laborers, Rural families, Migrant agricultural laborers -- Fiction, Dust Bowl Era, 1931-1939, Farm family, Great Depression, 1929-1939, Agricultural laborers, Migrant labor, California, fiction, Fiction, historical, American fiction (fictional works by one author), Fiction, family life, Fiction, political, Oklahoma, fiction, Large type books, English literature, Prose, New York Times reviewed, Fiction, historical, general, Travailleurs agricoles migrants, Romans, nouvelles, Familles rurales, Crises économiques, Abris pour travailleurs, Historical fiction, Readers for new literates, Reading (Adult education), Steinbeck, john , 1902-1968, Migrant agricultural laborers--california--fiction, Labor camps--california--fiction, Migrant agricultural laborers--fiction, Rural families--fiction, Depressions--fiction, Labor camps--fiction, Medicine in literature, Ps3537.t3234 g8 1996, 813/.52, Ps3537.t3234 g8 2006"
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,,15000000,"adult, author, bestseller, conditions, detective, fiction, literature, men, family, mystery, new, novel, novel, reading, roman, roman, social, family, spanish, stories, crime, thriller, times, american, youth",Fiction,new york times bestseller,"adult, authors, bestseller, conditions, detective, ficción, literary, men, mothers, mystery, new, nouvelles, novela, reading, roman, romans, social, sons, spanish, stories, suspense, thrillers, times, york, young",Uncategorized,"Mothers and sons, Verschollenheit, Widowers, Fiction, Autor, Books, Buch, Young men, Faszination, Rare books, Junge, Antiquarian booksellers, Antiquarian booksellers in fiction, Books in fiction, Rare books in fiction, Young men in fiction, Mothers and sons in fiction, Widowers in fiction, novel, Roman, Literary fiction, Spanish: Adult Fiction, Detective and mystery stories, out-of-print books, Spanish novelists, Novela de misterio, Viudos, Libros raros, Madres e hijos, Jóvenes (Hombres), Ficción, Libros, Libreros anticuarios, Spanish fiction, Fiction, suspense, Authors, fiction, Barcelona (spain), fiction, Booksellers and bookselling, fiction, Noveller, Mystery fiction, Books and reading, Social conditions, nyt:trade-fiction-paperback=2009-07-12, New York Times bestseller, Fiction, thrillers, suspense, Fortellinger, Forteljingar, Fiction, thrillers, general, Spanish Detective and mystery stories, Jeunes hommes, Romans, nouvelles, Livres rares, Jóvenes (Varones), Novela"
Interpreter of Maladies,Jhumpa Lahiri,English,2000,,15000000,"american, american, author, author, book, century, conditions, customs, english, library, life, literature, novel, novel, open, open_syllabus_project, picks, short, single, social, staff, stories",Fiction,english literature,"american, americans, author, authors, book, century, conditions, customs, english, library, life, literary, nouvelles, novela, open, open_syllabus_project, picks, short, single, social, staff, stories",Fiction,"East Indian Americans, Social life and customs, East Indian Americans in fiction, Nouvelles anglophones, Open Library Staff Picks, Fiction, open_syllabus_project, American Short stories, Asian Americans, Écrits d'immigrés, Conditions sociales, Short stories, Short Stories (single author), Literary, Vingtième siècle, Nouvelles indiennes (de l'Inde) de langue anglaise, Américains d'origine indienne (de l'Inde), Fiction, short stories (single author), Asian americans, fiction, Indios orientales, Novela, Cuentos, FICTION / Literary, FICTION / Short Stories (single author), English literature, Unabridged Audio - Fiction/General, Self-Help / Depression, General, East indian americans--social life and customs, East indian americans--social life and customs--fiction, Authors, american, Authors, american--20th century, East indian americans--fiction, Ps3562.a316 i58 1999, Book: sga lah, 813/.54"
Interpreter of Maladies,Jhumpa Lahiri,English,2000,,15000000,"american, american, author, author, book, century, conditions, customs, english, library, life, literature, novel, novel, open, open_syllabus_project, picks, short, single, social, staff, stories",Fiction,english literature,"american, americans, author, authors, book, century, conditions, customs, english, library, life, literary, nouvelles, novela, open, open_syllabus_project, picks, short, single, social, staff, stories",Fiction,"East Indian Americans, Social life and customs, East Indian Americans in fiction, Nouvelles anglophones, Open Library Staff Picks, Fiction, open_syllabus_project, American Short stories, Asian Americans, Écrits d'immigrés, Conditions sociales, Short stories, Short Stories (single author), Literary, Vingtième siècle, Nouvelles indiennes (de l'Inde) de langue anglaise, Américains d'origine indienne (de l'Inde), Fiction, short stories (single author), Asian americans, fiction, Indios orientales, Novela, Cuentos, FICTION / Literary, FICTION / Short Stories (single author), English literature, Unabridged Audio - Fiction/General, Self-Help / Depression, General, East indian americans--social life and customs, East indian americans--social life and customs--fiction, Authors, american, Authors, american--20th century, East indian americans--fiction, Ps3562.a316 i58 1999, Book: sga lah, 813/.54"
Becoming,Michelle Obama,English,2018,,14000000,"author, youth, new, short, single, stories, survival, the, travel, works, american",Fiction,juvenile fiction,"author, juvenile, new, short, single, stories, survival, the, travel, works, york",Uncategorized,"Fiction, Hunting, Islands, survival of the fittest, animal trapping, trapping pits, knouts, hunting dogs, Cossacks, deaf-mutes, snow leopards, jaguars, Juvenile fiction, Hunting stories, Juvenile works, Human hunting, Big game sport, Travel fiction, Survival, Fiction, general, New york (n.y.), fiction, Caribbean area, fiction, Fiction, short stories (single author)"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,['Science fiction'],14000000,"action, adventure, age, character, religion, comics, english, fiction, fiction, humor, humor, fantasy, language, education, library, life, new, open, picks, drama, reading, reading, science, staff, stories, travel, travel",Fiction,science fiction,"action, adventure, age, character, christian, comic, english, ficción, fictitious, humor, humorous, imaginary, language, levelgrade, library, life, new, open, picks, plays, readers, reading, science, staff, stories, travel, voyages",Fiction,"comic science fiction, Vogons, Humorous fiction, Imaginary voyages, wit and humour, Science Fiction, Interstellar travel, Fiction, Interplanetary voyages, Open Library Staff Picks, Life on other planets, Ford Prefect (Fictitious character), Arthur Dent (Fictitious character), Humorous stories, Viajes interplanetarios, Ficción, Language readers, Reading Level-Grade 11, Reading Level-Grade 12, Radio plays, English literature, Fiction, science fiction, general, Fiction, humorous, Dent, arthur (fictitious character), fiction, Prefect, ford (fictitious character), fiction, Fiction, science fiction, action & adventure, Christian life, Indians of North America, Science-fiction, Fiction, humorous, general, New age movement, Fiction, action & adventure, English language, Adventure, Humorous, Action & adventure, General, Space opera, English & college success -> english -> fiction, English & college success -> english -> humor"
Tuesdays with Morrie,Mitch Albom,English,1997,,14000000,"american, aspects, author, biography, conduct, death, large, library, life, narratives, open, people, philosophy, picks, psychology, psychology, relationships, relationships, chinese, social, staff, american, education, type, american, chinese",Non-fiction,large type books,"american, aspects, authors, biography, conduct, death, large, library, life, narratives, open, personal, philosophy, picks, psychological, psychology, relations, relationships, shuo, social, staff, states, teaching, type, united, xiao",Uncategorized,"memoir, ALS, sociology, Nightline, Death, Brandeis University, Amyotrophic lateral sclerosis, Faculty, Patients, Case studies, Teacher-student relationships, Biography, Psychological aspects, Universities and colleges, Biography & Memoir, Inspiration & Motivation, Personal Growth, Psychological aspects of Death, Attitude to Death, Muerte, Psychology, Universidad de Brandeis, Enfermos, Philosophy, Esclerosis lateral amiotrófica, Relaciones maestro-estudiante, Biografía, Análisis de casos, Aspectos psicológicos, Profesorado, Intergenerational Relations, Nonfiction, Conduct of life, Schwartz, Morris S, Brandeis University -- Faculty -- Biography, Amyotrophic lateral sclerosis -- Patients -- United States -- Biography, Teacher-student relationships -- United States -- Case studies, Death -- Psychological aspects -- Case studies, Patients -- United States -- Biography, Teacher-student relationship, Terminally ill, biography, Death, psychological aspects, Educators, united states, Authors, american, Open Library Staff Picks, Large type books, Tong su dou wu ., Ren sheng zhe xue ., Ren sheng zhe xue, Esclerosi lateral amiotròfica, Pacients, Biografia, Relacions humanes, Llibres per a joves, Mort, Amistat, Emocions, Narrativa per a joves, Novel·la realista, Sclérose latérale amyotrophique, Biographies, Études de cas, Aspect psychologique, Pacientes, Relaciones entre maestro y alumno, Zhong pian Xiao shuo, Tong su du wu, Ethnology, Intergenerational relationships, Ying yu, Dui zhao du wu, Han yu, Terminally ill, Facultybrandeis university, Death--psychological aspects, Death--psychological aspects--case studies, Teacher-student relationships--united states--case studies, Amyotrophic lateral sclerosis--patients, Amyotrophic lateral sclerosis--patients--united states--biography, Spiritual life, Sick, Ld571.b418 s383 1997, We 550 a339 1997, 378.1/2/092 b, Education - social & political aspects, Emotional healing, Teaching - classroom planning & management, Education biography, Inspiration, Patient narratives"
God's Little Acre,Erskine Caldwell,English,1933,,14000000,"american, author, family, fiction, large, life, one, type, works",Fiction,large type books,"american, author, families, fictional, large, life, one, type, works",Uncategorized,"Fiction, Mountain life, Large type books, Country life, Poor families, Rural families, Georgia, fiction, American fiction (fictional works by one author), American fiction"
A Wrinkle in Time,Madeleine L'Engle,English,1962,,14000000,"adult, adventure, adventure, american, aspects, family, character, children, children, classic, family, evil, family, family, fantasy, family, fiction, friendship, good, youth, large, education, library, life, love, fantasy, novel, open, people, picks, picture, reading, science, family, spanish, staff, travel, type, youth",Fiction,large type books,"adult, adventure, adventurers, american, aspects, brothers, character, children, childrens, classics, daughters, evil, families, family, fantasy, fathers, fictitious, friendship, good, juvenile, large, levelgrade, library, life, love, magic, novela, open, persons, picks, picture, reading, science, sisters, spanish, staff, travel, type, young",Uncategorized,"Love, sci-fi, Newbery Medal, Open Library Staff Picks, Juvenile fiction, Space and time, Fiction, Science fiction, Friendship in adolesce, Time travel, Murry family (Fictitious character), Brothers and sisters, Extraterrestrial beings, Friendship, Science Fiction, Fantasy, & Magic, Classics, Spanish: Young Adult (Gr. 10-12), Juvenile Fiction - Classics, Văn học Mĩ, Tiểu thuyết, Missing persons, Gifted children, Newbery Medal books, Families, Family life, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Fantasy fiction, Murry family (fictitious character), fiction, Fathers and daughters, fiction, Friendship, fiction, Large type books, Murry family (Fictitious characters), Adventure and adventurers, fiction, American fiction, Moral and ethical aspects, Responsibility, Decision making, Good and evil, A wrinkle in time, Espacio y tiempo, Novela, Viaje en el tiempo, Poopnce, award:Newbery_award, lexile:740, lexile_range:701-800, age:min:10, age:max:14, grade:min:Kindergarten and up, grade:max:undefined, Picture books"
Long Walk to Freedom,Nelson Mandela,English,1994,,14000000,"african, bestseller, biography, civilization, criticism, history, youth, education, new, reading, education, education, times, american",Non-fiction,new york times bestseller,"african, bestseller, biography, civil, criticism, history, juvenile, levelgrade, new, reading, study, teaching, times, york",Uncategorized,"Biography, Politics and government, Presidents, African National Congress, Civil rights workers, Political prisoners, Statesmen, Human rights, Apartheid, Guerilla Warfare, Reading Level-Grade 11, Reading Level-Grade 12, Anti-apartheid movement, South africa, politics and government, South africa, history, Widerstand, nyt:e-book-nonfiction=2013-12-15, New York Times bestseller, Juvenile literature, Mandela, nelson, 1918-2013, Gobierno, Presidentes, Biografía, History and criticism, Study and teaching (Secondary), Mandela, Nelson, 1918-, Présidents, Biographies, Politique et gouvernement, Zheng zhi jia, Zi zhuan, Anti-apartheid movements"
The Old Man and the Sea,Ernest Hemingway,English,1952,,13000000,"american, author, chinese, criticism, english, fiction, fiction, friendship, from, history, into, large, education, library, literature, men, novel, novel, one, open, open_syllabus_project, picks, psychology, reading, roman, staff, stories, tales, the, translation, type, works",Fiction,large type books,"american, author, chinese, criticism, english, ficción, fictional, friendship, from, history, into, large, levelgrade, library, literatura, men, nouvelles, novela, one, open, open_syllabus_project, picks, psychology, reading, romans, staff, stories, tales, the, translations, type, works",Uncategorized,"American Sea stories, Male friendship, Fishers, Fiction, Ameriška književnost, American fiction, Ancianos, Open Library Staff Picks, Fishing stories, Pescadores, Older men, open_syllabus_project, Kratka proza, Friendship, Amistad entre hombres, Ficción, Bildungsromans, American literature, Libros en letra grande, Alegorías, Historias de aventuras, Novela, Literatura estadounidense, Novela estadounidense, Reading Level-Grade 11, Reading Level-Grade 12, American fiction (fictional works by one author), Cuba, fiction, Friendship, fiction, Large type books, Old man and the sea (Hemingway, Ernest), Hombres, Amistad, Allegories, Metaphorical tales, Big game fishing, Aged men, Psychology, History and criticism, American Fishing stories, Older men in literature, Translations from English, Chinese fiction, Marlins, Courage in men, Pêcheurs, Romans, nouvelles, Hommes âgés, Sea stories, Translations into Swahili, Swahili fiction, Fishers--cuba--fiction, Older men--cuba--fiction, Friendship--fiction, Fishers--fiction, Older men--fiction, Male friendship--fiction, Ps3515.e37 o4 1995, 813/.52"
Life After Life,Raymond Moody,English,1975,,13000000,"bestseller, british, century, detective, english, great, history, history, humor, literature, mystery, new, reviewed, roman, stories, crime, times, war, american",Fiction,new york times bestseller,"bestseller, britain, century, detective, english, great, historical, history, humorous, literary, mystery, new, reviewed, roman, stories, suspense, times, war, york",Fiction,"Reincarnation, FICTION, Literary, Englisch, Roman, Suspense, Historical, History, Historical fiction, 20th century history: c 1900 to c 2000, War, Fiction, humorous, Fiction, alternative history, Great britain, fiction, Fiction, historical, FICTION / Suspense, FICTION / Literary, FICTION / Historical, nyt:hardcover-fiction=2013-04-21, New York Times bestseller, Fiction, humorous, general, Fiction, historical, general, Humorous stories, Alternative histories (Fiction), Detective and mystery stories, nyt:trade-fiction-paperback=2014-01-26, New York Times reviewed, nyt:combined-print-and-e-book-fiction=2013-04-21, English literature"
Life After Life,Raymond Moody,English,1975,,13000000,"bestseller, british, century, detective, english, great, history, history, humor, literature, mystery, new, reviewed, roman, stories, crime, times, war, american",Fiction,new york times bestseller,"bestseller, britain, century, detective, english, great, historical, history, humorous, literary, mystery, new, reviewed, roman, stories, suspense, times, war, york",Fiction,"Reincarnation, FICTION, Literary, Englisch, Roman, Suspense, Historical, History, Historical fiction, 20th century history: c 1900 to c 2000, War, Fiction, humorous, Fiction, alternative history, Great britain, fiction, Fiction, historical, FICTION / Suspense, FICTION / Literary, FICTION / Historical, nyt:hardcover-fiction=2013-04-21, New York Times bestseller, Fiction, humorous, general, Fiction, historical, general, Humorous stories, Alternative histories (Fiction), Detective and mystery stories, nyt:trade-fiction-paperback=2014-01-26, New York Times reviewed, nyt:combined-print-and-e-book-fiction=2013-04-21, English literature"
