Book,Author(s),Original language,First published,Genre,Approximate sales (millions), All Subjects,Book_Type,Most common subject phrase,From top 200 phrases,Subjects,Most common subject phrase normalized
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,Young adult novel,20000000.0,,Unknown,,,,
Pride and Prejudice,Jane Austen,English,1813,"Classic regency novel, romance",20000000.0,"British and irish fiction (fictional works by one author), Brothers and sisters, Children's fiction, Courtship, Drama, English fiction, English literature, Families, Family, Family life, Family relations, Fiction, Fiction Classics, History, Interpersonal relations, Juvenile fiction, Literary Fiction, love stories, manners, Manners and customs, marriage, Romance, Sisters, Social classes, Social life and customs, Upper class, wealth, Women in England, young ladies, Young women, entail, Young women, fiction, Sisters, fiction, Fiction, family life, general, England, fiction, Man-woman relationships, fiction, Bennet, elizabeth (fictitious character), fiction, Darcy, fitzwilliam (fictitious character), fiction, Roman anglais, Classes sociales, Romans, nouvelles, Sœurs, Amours, Jeunes femmes, Familles, Mœurs et coutumes, Pride and prejudice (Austen, Jane), Clases sociales, Novela, Jóvenes (Mujeres), Cortejo amoroso, Hermanas, Cuentos de amor, Fiction, coming of age, Fiction, romance, general, Fiction, historical, general, Great britain, social life and customs, fiction, Readers, Prejudices, Romance fiction, Historical fiction, Classical literature, Domestic fiction, English language, textbooks for foreign speakers, Women, fiction, Adaptations, Gentry, Mate selection, General, Fiction, romance, historical, general, English literature (collections), Coloring books, Fiction, family life, Fiction, general, Language and languages, study and teaching, Emoticons, Drama (dramatic works by one author), Feelings, Class, Englisch, Roman, Sociala klasser i litteraturen, Prophecies, Bible, History of biblical events, Great britain, Reading level-grade 7, Reading level-grade 9, Reading level-grade 8, Reading level-grade 11, Reading level-grade 10, Reading level-grade 12, Elizabeth bennet (fictitious character), Large type books, Fiction, romance, historical, Austen, jane, 1775-1817, Literature and fiction (general), English literature, history and criticism, England, Художественная литература -- Великобритания -- Английская литература -- 1-ая пол. 19 в. -- Романы, Novel, Fitzwilliam Darcy (Fictitious character)",Fiction,large type books,"adaptations, bible, brothers and sisters, childrens fiction, coming of age, domestic fiction, drama, england, english fiction, english language, english literature, families, family, family life, great britain, historical, historical fiction, history, history and criticism, interpersonal relations, juvenile fiction, large type books, literary fiction, love stories, manners and customs, manwoman relationships, marriage, nouvelles, novela, readers, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 7, reading levelgrade 8, reading levelgrade 9, roman, romance, romance fiction, romans, sisters, social life and customs, study and teaching, textbooks for foreign speakers, women, young women","adaptations, bible, brothers and sisters, childrens fiction, coming of age, domestic fiction, drama, england, english fiction, english language, english literature, family, great britain, historical, historical fiction, history, history and criticism, interpersonal relations, juvenile fiction, large type books, literature and fiction, love, manners and customs, manwoman relationships, marriage, nouvelles, novel, others, readers, romance, romans, sisters, social life and customs, study and teaching, textbooks for foreign speakers, women, young women",large type books
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,Travel literature,20000000.0,"Ethnology, Etnología, Kon-Tiki ekspedisjonen (1947), Kon-Tiki ekspedisjonen (1947) cn, Kon-Tiki ekspedisjonen 1947, Kon-Tiki ekspedisjonen, (1947), Kon-Tiki expedition (1947), Kon-Tiki expedition, 1947, Polynesians, Ra (Boat), Voyages and travels, Kon-Tiki ekspedisjonen (1947) (NOBLE)50856, Kon-Tiki ekspedisjonen. fast (OCoLC)fst01405210, Kon-Tiki Expedition! (1947), Adventure and adventurers, Ethnic groups, Heyerdahl, thor, 1914-2002, Ethnology, polynesia, Pacific ocean, description and travel, Kon-Tiki ekspedisjonen (1947) http://id.loc.gov/authorities/names/n50061935",Unknown,adventure and adventurers,"adventure and adventurers, description and travel, voyages and travels","adventure and adventurers, description and travel, voyages and travels",adventure and adventurers
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,Unfinished satirical dark comedy novel,20000000.0,"European War, 1914-1918, Fiction, Soldiers, World War, 1914-1918, World war, 1914-1918, fiction, Fiction, war & military, Czech fiction, Czechoslovakia, fiction, Fiction, historical, general, Fiction, general, Continental european fiction (fictional works by one author), World war, 1939-1945, czechoslovakia, Juvenile fiction",Fiction,juvenile fiction,"19391945, historical, juvenile fiction, war  military, world war","historical, juvenile fiction, others, war  military, world war",juvenile fiction
Where the Wild Things Are,Maurice Sendak,English,1963,Children's picture book,20000000.0,"Caldecott Medal, Dreams, Fantasy, Fantasy fiction, Fiction, Imagination, Juvenile fiction, Miniature books, Monsters, Specimens, Fantasty, Monstruos, Fantasía, Spanish language materials, Novela, open_syllabus_project, Kings and rulers, Conduct of life, Fairy tales, Children, Animals, Temper tantrums, Ficción juvenil, Accelerated Reader 2.9., Caldecott Medal books, Children's fiction, Monsters, fiction, Picture books, Novela juvenil, Action & Adventure, Classics, People & Places, Hispanic & Latino, Spanish language, Reading materials, French Juvenile fiction, Juvenile fiction, French, Children's stories, German language materials, collectionID:caldecott60, Behavior, Latin language materials, Dreams, fiction, Monstres, Ouvrages illustrés, Littérature de jeunesse anglaise, award:Caldecott_award, lexile:740, lexile_range:701-800, lexile_code:AD, age:min:1, age:max:5, Adventure and adventurers, fiction, Islands, fiction, Animals, fiction, Behavior, fiction",Fiction,fantasy,"action  adventure, adventure and adventurers, animals, children, childrens fiction, childrens stories, classics, conduct of life, fairy tales, fantasy, fantasy fiction, ficción juvenil, french, juvenile fiction, miniature books, novela, novela juvenil, open_syllabus_project, picture books, spanish language, spanish language materials, specimens","action  adventure, adventure and adventurers, animals, children, childrens fiction, childrens stories, classics, conduct of life, fairy tales, fantasy, fantasy fiction, french, juvenile fiction, miniature books, novel, novela juvenil, open_syllabus_project, picture books, spanish language, specimens",fantasy
The Power of Positive Thinking,Norman Vincent Peale,English,1952,Self-help,20000000.0,"Applied Psychology, Aspectos religiosos, Christianity, Conduct of life, Conducta (Etica), Cristianismo, Exito, Miniature books, Pastoral psychology, Paz del espíritu, Peace of mind, Pensamiento, Psicología aplicada, Religious aspects of Peace of mind, Religious aspects of Success, Self-actualization, Self-culture, Specimens, Success, Thought and thinking, Attitude, Ensayos, conferencias, Teología moral, Etica cristiana, Self-actualization (Psychology), Психология, SELF-HELP, Personal Growth, Success, religious aspects, Christian life, Large type books, Morale pratique, Conducta (Ética), Éxito, Religious aspects",Unknown,large type books,"conduct of life, large type books, miniature books, specimens","conduct of life, large type books, miniature books, specimens",large type books
The Power of Positive Thinking,Norman Vincent Peale,English,1952,Self-help,20000000.0,"Applied Psychology, Aspectos religiosos, Christianity, Conduct of life, Conducta (Etica), Cristianismo, Exito, Miniature books, Pastoral psychology, Paz del espíritu, Peace of mind, Pensamiento, Psicología aplicada, Religious aspects of Peace of mind, Religious aspects of Success, Self-actualization, Self-culture, Specimens, Success, Thought and thinking, Attitude, Ensayos, conferencias, Teología moral, Etica cristiana, Self-actualization (Psychology), Психология, SELF-HELP, Personal Growth, Success, religious aspects, Christian life, Large type books, Morale pratique, Conducta (Ética), Éxito, Religious aspects",Unknown,large type books,"conduct of life, large type books, miniature books, specimens","conduct of life, large type books, miniature books, specimens",large type books
The Secret,Rhonda Byrne,English,2006,Self-help,20000000.0,"Fiction, general, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, Child and youth fiction, Children's fiction, Gardens, fiction, England, fiction, American literature, Orphans, fiction, Great britain, history, fiction, English language, Orphans, Juvenile fiction, Gardens, Fiction, Children with disabilities, Loneliness in children, Fiction, coming of age, Fantasy fiction, Toy and movable books, American fiction, People with disabilities, Stories, Huérfanos, Ficción juvenil, Jardines, Impedidos, Friendship, Sick children, History, Families, Pictorial works, Familles, Romans, nouvelles, etc. pour la jeunesse, Amitié, Jardins, Ouvrages illustrés, Children's stories, American, Great Britain, Personnes handicapées, Girls, fiction, American literature, study and teaching, American fiction, history and criticism, Children, Enfants, Romans, nouvelles, Orphelins, Roman pour la jeunesse, Physically handicapped, England, Literature, Dictionaries, Chinese, Selbsterziehung, Freundschaft, Garten, Waisenkind, Korean, Spanish, French, Therapeutic use, Gardening, Cousins, Spanish language materials, Detective and mystery stories, reading, strategies, classic, Accessible book, Protected DAISY, Physically disabled children, Children's stories, English, People with physical disabilities, Juvenile literature, Children's stories, JUVENILE FICTION / Family / Orphans & Foster Homes, JUVENILE FICTION / Girls & Women, JUVENILE FICTION / Social Themes / Friendship, JUVENILE FICTION / Lifestyles / Country Life, JUVENILE FICTION / Disabilities & Special Needs, English language, textbooks for foreign speakers, Readers, British and irish fiction (fictional works by one author), Grandparents, fiction, Great britain, history, 19th century, fiction, Grandfathers, Language and languages, study and teaching, Love, fiction, Mystery and detective stories, Holmes, sherlock (fictitious character), fiction, Fiction, mystery & detective, general, Private investigators, fiction, Literature and fiction, juvenile, Fiction, action & adventure, Fiction, thrillers, suspense",Fiction,childrens fiction,"accessible book, action  adventure, american, american fiction, american literature, child and youth fiction, children, childrens fiction, childrens stories, coming of age, detective and mystery stories, dictionaries, england, english, english language, etc pour la jeunesse, families, fantasy fiction, ficción juvenil, french, friendship, girls, great britain, history, history and criticism, juvenile, juvenile fiction, juvenile literature, literature, literature and fiction, love, mystery  detective, nouvelles, orphans, pictorial works, private investigators, protected daisy, readers, romans, spanish language materials, study and teaching, suspense, textbooks for foreign speakers, thrillers, toy and movable books","accessible book, action  adventure, american, american fiction, american literature, child and youth fiction, children, childrens fiction, childrens stories, coming of age, detective and mystery stories, dictionaries, england, english, english language, etc pour la jeunesse, family, fantasy fiction, french, friendship, girls, great britain, history, history and criticism, juvenile, juvenile fiction, juvenile literature, literature, literature and fiction, love, mystery  detective, nouvelles, orphans, pictorial works, private investigators, protected daisy, readers, romans, spanish language, study and teaching, suspense, textbooks for foreign speakers, thriller, toy and movable books",childrens fiction
Fear of Flying,Erica Jong,English,1973,Romantic novel,20000000.0,"Fiction, Women, Self-realization, Adultery, Sexual life, Spanish language, Fiction, psychological, Wing, isadora (fictitious character), fiction, Fiction, erotica, general, Fiction, romance, erotica, Sexual behavior",Fiction,romance,"psychological, romance, spanish language, women","psychological, romance, spanish language, women",romance
Dune,Frank Herbert,English,1965,Science fiction novel,20000000.0,"Dune (Imaginary place), Fiction, Fiction, science fiction, general, Dune (imaginary place), fiction, New York Times reviewed, Science fiction, Science-fiction, American literature, nyt:mass-market-monthly=2021-11-07, New York Times bestseller, award:nebula_award=novel, nyt:trade-fiction-paperback=2021-11-07, Hugo Award Winner, award:hugo_award=1966, award:hugo_award=novel, American Science fiction",Fiction,new york times bestseller,"american literature, american science fiction, new york times bestseller, new york times reviewed, science fiction","american literature, american science fiction, new york times bestseller, new york times reviewed, science fiction",new york times bestseller
Charlie and the Chocolate Factory,Roald Dahl,English,1964,Children's fantasy novel,20000000.0,"Childrens Media Tie-In Books, Children's Middle Grade Action & Adventure Books, Children's Picture Books, Avarice, Behavior, Chocolat, Chocolate, Chocolate factories, Conducta, Conduct of life, Cuentos humorísticos, Eccentrics and eccentricities, Factories, Fantasy, Ficción juvenil, Fiction, Grandparent and child, Human behavior, Humorous fiction, Humorous stories, Humourous stories, Juvenile fiction, Juvenile Literature, Juvenile works, Literatura juvenil, Romans, Spanish language materials, Wonka Bars, Young Adult Fiction, Willy Wonka (Fictitious character), Charlie Bucket (Fictitious character), Children's fiction, Behavior, fiction, Fiction, fantasy, general, Literature and fiction, juvenile, Romans, nouvelles, etc. pour la jeunesse, Morale pratique, Industrie, Behavior -- Fiction, Chocolate industry, Candy industry, Accelerated Reader, Plays, Children's plays, Literatura angielska dla młodzieży, Tłumaczenia polskie, In library, Accessible book, OverDrive, Open Library Staff Picks, Protected DAISY, Récits humoristiques, Fantasy fiction, Candy, Short stories",Fiction,fantasy,"accessible book, childrens fiction, childrens plays, conduct of life, etc pour la jeunesse, fantasy, fantasy fiction, ficción juvenil, humorous stories, juvenile, juvenile fiction, juvenile literature, juvenile works, literature and fiction, nouvelles, open library staff picks, plays, protected daisy, romans, short stories, spanish language materials, young adult fiction","accessible book, childrens fiction, childrens plays, conduct of life, etc pour la jeunesse, fantasy, fantasy fiction, humorous, juvenile, juvenile fiction, juvenile literature, juvenile works, literature and fiction, nouvelles, open library staff picks, plays, protected daisy, romans, short stories, spanish language, young adult fiction",fantasy
The Naked Ape,Desmond Morris,English,1968,"Social Science, Anthropology, Psychology",20000000.0,"Human beings, Primates, Animal nature, Behavior, Human behavior, Primates, behavior, Non-Fiction, Anthropology, Evolution, history, Comportement humain, Murs et comportement, Animalité, Homme, Mœurs et comportement, Comparative Psychology, Psychology, Comparative, Man, Ethologie",Non-fiction,history,"history, psychology","history, psychological",history
Kokoro (こゝろ),Natsume Sōseki,Japanese,1914,Novel,20000000.0,,Unknown,,,,
Where the Crawdads Sing,Delia Owens,English,2018,"Coming-of-age, murder mystery",18000000.0,"Solitude, Fiction, Fiction, coming of age, Fiction, mystery & detective, historical, North carolina, fiction, nyt:hardcover-fiction=2018-09-23, New York Times bestseller, Abandoned children, Man-woman relationships, Investigation, Young women, Murder, nyt:combined-print-and-e-book-fiction=2018-09-30, nyt:trade-fiction-paperback=2021-04-18, Women hermits, FICTION / Literary, FICTION / Coming of Age, FICTION / Contemporary Women, Coming of age, collectionid:nyt2020s",Fiction,new york times bestseller,"coming of age, fiction  literary, historical, manwoman relationships, murder, mystery  detective, new york times bestseller, young women","coming of age, fiction  literary, historical, manwoman relationships, murder, mystery  detective, new york times bestseller, young women",new york times bestseller
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,"Sentimental, epistolary novel",18000000.0,"Fiction, Reminiscing in old age, Fiction, general, Italy, fiction, Large type books, Roman",Fiction,large type books,"large type books, roman","large type books, romans",large type books
Matilda,Roald Dahl,English,1988,Children's literature,17000000.0,"juvenile fiction, Schools, Girls, Spanish language, Translations from English, Fiction, Humorous stories, Écoles, Romans, nouvelles, etc. pour la jeunesse, Filles, Muchachas, Novela juvenil, Escuelas, Materiales en español, Cuentos humorísticos, Spanish language materials, Romans, nouvelles, Récits humoristiques, Tong hua, Children's fiction, Schools, fiction, Child and youth fiction, Revenge, Schools--fiction, Revenge--fiction, School, Child genius, Humorous, Trickiness, Mistreatment, Teachers, Open library staff picks, Children, Ficción juvenil, Child abuse, Parent and child, Witches, Gifted children, Large type books, Literature and fiction, juvenile, Parent and child, fiction, Teachers, fiction, Teacher-student relationships, Psychokinesis, English humorous stories, Magic, Psychokinesis - fiction, Gifted children - fiction, Family relations - fiction, School stories, English literature, Dutch literature, Humurous stories, Fantasy fiction",Fiction,large type books,"child and youth fiction, children, childrens fiction, english literature, etc pour la jeunesse, fantasy fiction, ficción juvenil, girls, humorous, humorous stories, juvenile, juvenile fiction, large type books, literature and fiction, magic, nouvelles, novela juvenil, open library staff picks, parent and child, romans, schools, spanish language, spanish language materials, translations from english, witches","child and youth fiction, children, childrens fiction, english literature, etc pour la jeunesse, fantasy fiction, girls, humorous, juvenile, juvenile fiction, large type books, literature and fiction, magic, nouvelles, novela juvenil, open library staff picks, parent and child, romans, schools, spanish language, translations from english, witches",large type books
The Book Thief,Markus Zusak,English,2005,Young adult fiction,16000000.0,"nyt:young-adult-paperback-monthly=2022-09-04, New York Times bestseller, New York Times reviewed, Books and reading, Fiction, Jews, History, World War, 1939-1945, Rescue, Storytelling, Death, Novela australiana, Livres et lecture, Romans, nouvelles, Juifs, Histoire, Guerre mondiale, 1939-1945, Sauvetage, Libros y lectura, Novela, Judios, Historia, Guerra Mundial II, 1939-1945, Book thefts, Jews rescue (1939-1945 : World War) fast (OCoLC)fst01710189, World War (1939-1945) fast (OCoLC)fst01180924, Death, fiction, Germany, history, fiction, Jews, history, fiction, World war, 1939-1945, fiction, Children's fiction, Storytelling, fiction, Books and reading, fiction, Juvenile fiction, Art de conter, Mort, World war ii, Gestapo, Judaism, Nazi, Nazi germany, Historical fiction, Narración de cuentos, Muerte, Literature, Judíos, Nyt:paperback_books=2007-09-09, Ficción, Jews rescue, German history, Books, Reading, Spanish language materials, Ficción juvenil, Guerra mundial ii, Fictional works, Large type books, Memory, Mothers, Family problems, Young adult fiction, Death (personification)",Fiction,large type books,"19391945, books and reading, childrens fiction, death, ficción, ficción juvenil, fictional works, histoire, historia, historical fiction, history, jews, juvenile fiction, large type books, literature, new york times bestseller, new york times reviewed, nouvelles, novela, romans, spanish language materials, world war, young adult fiction","books and reading, childrens fiction, death, fiction, fictional works, historical fiction, history, hoistorical, jews, juvenile fiction, large type books, literature, new york times bestseller, new york times reviewed, nouvelles, novel, others, romans, spanish language, world war, young adult fiction",large type books
The Horse Whisperer,Nicholas Evans,English,1995,,16000000.0,"Caballos, Curadores, Ficción, Fiction, Healers, Healers in fiction, Healing, Horses, Horses in fiction, Man-woman relationships, Man-woman relationships in fiction, Montana in fiction, Psychology, Relaciones hombre-mujer, Romance, Teenage girls, Traffic accident victims, Domestic fiction, English fiction, Montana, fiction, Man-woman relationships, fiction, Fiction, family life, Large type books, Fiction, family life, general, Romans, Chevaux, German text, Oberschicht, Familie, Tochter, Reitunfall, Pferd, Neurose, Belletristische Darstellung, Internet Archive Wishlist, Curanderos, Novela",Fiction,large type books,"domestic fiction, english fiction, family life, ficción, large type books, manwoman relationships, novela, psychology, romance, romans, teenage girls","domestic fiction, english fiction, family, fiction, large type books, manwoman relationships, novel, psychological, romance, romans, teenage girls",large type books
Goodnight Moon,Margaret Wise Brown,English,1947,Children's literature,16000000.0,"Children's fiction, Picture books, Bedtime, fiction, Rabbits, fiction, Literature and fiction, juvenile, Rabbits, Stories in rhyme, Juvenile fiction, Moon in fiction, Board books, Hora de acostarse, Fiction, Bedtime in fiction, Rabbits in fiction, Ficción juvenil, Sleep, Bedtime, Night, Libros de láminas, Picture books for children, Spanish language materials, Specimens, Bilingual, Hmong language materials, Conejos, Bedtime & Dreams, Words, Concepts, Classics, Moon, fiction, Night, fiction, Counting books, Children's literature, history and criticism, Authorship, juvenile literature, Authorship, Large type books, Toy and movable books, Short stories, Boys, Comic books, strips, Teacher-student relationships, Dreams, fiction, Novela juvenil, Libros para contar, Animals, Materiales en español, Bilingües, Sleep, fiction",Fiction,large type books,"animals, boys, childrens fiction, childrens literature, classics, comic books, ficción juvenil, history and criticism, juvenile, juvenile fiction, juvenile literature, large type books, literature and fiction, novela juvenil, picture books, rabbits, short stories, spanish language materials, specimens, strips, toy and movable books","animals, boys, childrens fiction, childrens literature, classics, comic books, history and criticism, juvenile, juvenile fiction, juvenile literature, large type books, literature and fiction, novela juvenil, picture books, rabbits, short stories, spanish language, specimens, strips, toy and movable books",large type books
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,Children's literature,16000000.0,"Imaginary Voyages, Bien y mal, Adventure and adventurers, Juvenile fiction, Cuentos de aventuras, Voyages, imaginary, Fantasy, Spanish language materials, Ficción juvenil, Novela fantástica, Fiction, Viajes imaginarios, Good and evil, Children’s Middle Grade Action & Adventure Books, creatures, wolves, oracles, turtles, Courage, Fantastic fiction, Imagination, Wishes, Fantasy fiction, German children's stories, Children's fiction, Magic, fiction, German fiction, Books and reading, Heroes",Fiction,fantasy,"adventure and adventurers, books and reading, childrens fiction, fantasy, fantasy fiction, ficción juvenil, good and evil, heroes, juvenile fiction, magic, spanish language materials","adventure and adventurers, books and reading, childrens fiction, fantasy, fantasy fiction, good and evil, heroes, juvenile fiction, magic, spanish language",fantasy
All the Light We Cannot See,Anthony Doerr,English,2014,"Historical fiction, war novel",15300000.0,"Blind, FICTION / General, Fiction, Youth, World War, 1939-1945, FICTION / Literary, FICTION / Historical, History, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Large type books, Fiction, historical, World war, 1939-1945, fiction, Germany, fiction, France, fiction, Literary, General, Historical, Amerikanisches Englisch, nyt:trade-fiction-paperback=2017-04-23, New York Times bestseller, nyt:hardcover-fiction=2014-05-25, New York Times reviewed, nyt:e-book-fiction=2014-06-08, Juventud, Guerra Mundial II, 1939-1945, Ciegos, Historia, Novela, Novela histórica, Survival, American fiction, Friendship, Fiction, historical, general, 18.06 Anglo-American literature, Berliner Mauer, Bildungsromans, Fathers and daughters, People with disabilities, Historical fiction, Children, Roman, Tweede Wereldoorlog, Personnes aveugles, Romans, nouvelles, Guerre mondiale, 1939-1945, Jeunesse, German Occupation of France (1940-1945) fast (OCoLC)fst01353176, World War (1939-1945) fast (OCoLC)fst01180924, Portuguese language materials, Enfants aveugles, Enfants et guerre, Histoire",Fiction,large type books,"19391945, american fiction, amerikanisches englisch, bildungsromans, children, fathers and daughters, fiction  general, fiction  literary, france, friendship, histoire, historia, historical, historical fiction, history, large type books, literary, new york times bestseller, new york times reviewed, nouvelles, novela, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 9, roman, romans, survival, world war","american fiction, amerikanisches englisch, bildungsromans, children, fathers and daughters, fiction  general, fiction  literary, france, friendship, historical, historical fiction, history, hoistorical, large type books, literature, new york times bestseller, new york times reviewed, nouvelles, novel, others, romans, survival, world war",large type books
Fifty Shades of Grey,E. L. James,English,2011,Erotica,15200000.0,"Man-woman relationships, fiction, FICTION / Contemporary Women, Sexual dominance and submission, FICTION / Romance / Contemporary, Dominance (Psychology), College students, Businessmen, Adultery, Contemporary Women, Contemporary, Romance, Fiction, erotica, nyt:trade-fiction-paperback=2012-03-25, New York Times bestseller, Sexual attraction, Fiction, erotica, general, Large type books, Businesspeople, Erotic stories, Love stories, Domination et soumission (Sexualite), Romans, nouvelles, Vietnamese language materials, Gens d'affaires, Relations entre hommes et femmes, Domination et soumission (Sexualité), English literature, erotic, novel, Relaciones hombre-mujer, Ficción, Adulterio, Novela, Erotic fiction, NOVELA INGLESA, LITERATURA INGLESA, NOVELA EROTICA, Translations into Hindi, Histoires érotiques, Étudiants, Women college students, Authors, Self-realization, Dating violence",Fiction,large type books,"authors, contemporary, english literature, ficción, large type books, love stories, manwoman relationships, new york times bestseller, nouvelles, novela, romance, romans","authors, contemporary, english literature, fiction, large type books, love, manwoman relationships, new york times bestseller, nouvelles, novel, romance, romans",large type books
The Outsiders,S. E. Hinton,English,1967,,15000000.0,"juvenile works, violence, fiction classics, Fiction, Gangs, Family life, Family, Juvenile fiction, Brothers, Young adult fiction, open_syllabus_project, Orphans, Spanish language, Readers, Families, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Friendship, Superheroes, Children's fiction, Family life, fiction, Gangs, fiction, Boys, fiction, Alienation (Social psychology), Teenagers, Large type books, Bullying, Determination (Personality trait), Individuality, Familles, Romans, nouvelles, etc. pour la jeunesse, Frères, Intimidation, Détermination (Trait de personnalité), Individualité, Family, fiction, Orphans, fiction, Bullying, fiction, Families -- Fiction, Violence -- Fiction, Gangs -- Fiction, Orphans -- Fiction, Brothers -- Fiction, Friendship -- Fiction, Teen fiction, Boys & men, Fiction in english",Fiction,large type books,"boys, childrens fiction, etc pour la jeunesse, families, family, family life, fiction in english, friendship, juvenile fiction, juvenile works, large type books, nouvelles, open_syllabus_project, orphans, readers, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 7, reading levelgrade 8, reading levelgrade 9, romans, spanish language, young adult fiction","boys, childrens fiction, etc pour la jeunesse, family, fiction in english, friendship, juvenile fiction, juvenile works, large type books, nouvelles, open_syllabus_project, orphans, others, readers, romans, spanish language, young adult fiction",large type books
Guess How Much I Love You,Sam McBratney,English,1994,,15000000.0,"Fiction, Juvenile fiction, Love, Fathers and sons, Bedtime, Hares, Ficción juvenil, Padre e hijo, Hora de acostarse, Amor, Specimens, Conejos, Amour, Ouvrages pour la jeunesse, Vietnamese language materials, Bilingual, Board books, Children's picture book, Pictorial works, Animals, Rabbits, Children's picture books, Children's stories, English, Translations into German, Drama, Juvenile films, Parent and child, Spring, Children's fiction, Fathers and sons, fiction, Bedtime, fiction, Love, fiction, Rabbits, fiction, Colors, Emotions, fiction, Picture books, Toy and movable books, Parent and infant, Romance fiction, Romance-language fiction, Blind, Books and reading, Love stories, Adventure and adventurers, fiction, Russian language, Russian language materials, Children's books, Eltern, Kind, Liebe, Feldhase, Children's Books/Ages 4-8 Fiction, Social Issues - Emotions & Feelings, Children: Preschool, Animals - Rabbits, Family - General, Juvenile Fiction / Classics, Classics, Humorous Stories, Children's Books/Baby-Preschool, Children: Kindergarten, Bedtime & Dreams, Family - Parents, Children's Baby - Boardbooks, Juvenile Fiction / Bedtime & Dreams, Preschool Picture Story Books, Juvenile Fiction / Social Situations / Emotions & Feelings, Translations into Irish, American fiction, Social Situations - Emotions & Feelings, Children's Audio - 4-8, Toys, Dolls, & Puppets, Audio - Children's, France, fiction, Orphans, fiction, Spies, fiction, Rider, alex (fictitious character), fiction, Child and youth fiction, Non-classifiable, Animals, fiction, Picture books for children",Fiction,childrens fiction,"adventure and adventurers, american fiction, animals, books and reading, child and youth fiction, childrens fiction, childrens stories, classics, drama, english, fathers and sons, ficción juvenil, france, humorous stories, juvenile fiction, love, love stories, orphans, parent and child, pictorial works, picture books, rabbits, romance fiction, specimens, toy and movable books","adventure and adventurers, american fiction, animals, books and reading, child and youth fiction, childrens fiction, childrens stories, classics, drama, english, fathers and sons, france, humorous, juvenile fiction, love, orphans, parent and child, pictorial works, picture books, rabbits, romance, specimens, toy and movable books",childrens fiction
Guess How Much I Love You,Sam McBratney,English,1994,,15000000.0,"Fiction, Juvenile fiction, Love, Fathers and sons, Bedtime, Hares, Ficción juvenil, Padre e hijo, Hora de acostarse, Amor, Specimens, Conejos, Amour, Ouvrages pour la jeunesse, Vietnamese language materials, Bilingual, Board books, Children's picture book, Pictorial works, Animals, Rabbits, Children's picture books, Children's stories, English, Translations into German, Drama, Juvenile films, Parent and child, Spring, Children's fiction, Fathers and sons, fiction, Bedtime, fiction, Love, fiction, Rabbits, fiction, Colors, Emotions, fiction, Picture books, Toy and movable books, Parent and infant, Romance fiction, Romance-language fiction, Blind, Books and reading, Love stories, Adventure and adventurers, fiction, Russian language, Russian language materials, Children's books, Eltern, Kind, Liebe, Feldhase, Children's Books/Ages 4-8 Fiction, Social Issues - Emotions & Feelings, Children: Preschool, Animals - Rabbits, Family - General, Juvenile Fiction / Classics, Classics, Humorous Stories, Children's Books/Baby-Preschool, Children: Kindergarten, Bedtime & Dreams, Family - Parents, Children's Baby - Boardbooks, Juvenile Fiction / Bedtime & Dreams, Preschool Picture Story Books, Juvenile Fiction / Social Situations / Emotions & Feelings, Translations into Irish, American fiction, Social Situations - Emotions & Feelings, Children's Audio - 4-8, Toys, Dolls, & Puppets, Audio - Children's, France, fiction, Orphans, fiction, Spies, fiction, Rider, alex (fictitious character), fiction, Child and youth fiction, Non-classifiable, Animals, fiction, Picture books for children",Fiction,childrens fiction,"adventure and adventurers, american fiction, animals, books and reading, child and youth fiction, childrens fiction, childrens stories, classics, drama, english, fathers and sons, ficción juvenil, france, humorous stories, juvenile fiction, love, love stories, orphans, parent and child, pictorial works, picture books, rabbits, romance fiction, specimens, toy and movable books","adventure and adventurers, american fiction, animals, books and reading, child and youth fiction, childrens fiction, childrens stories, classics, drama, english, fathers and sons, france, humorous, juvenile fiction, love, orphans, parent and child, pictorial works, picture books, rabbits, romance, specimens, toy and movable books",childrens fiction
Shōgun,James Clavell,English,1975,,15000000.0,"Fiction, Historical fiction, History, Spanish language books, Fiction in English, Warlords, Adventure ficiton, Samurai, British in Japan, Catholic Church, Japan, fiction, Fiction, historical, general",Fiction,history,"fiction in english, historical, historical fiction, history","fiction in english, historical, historical fiction, history",history
